trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
227,False,"{'a': 0.08, 'e': 0.10213842899856122}",25,13,21.799421694609087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.08, 'e': 0.1011170447085756}",25,3,34.262823699595764,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.08, 'e': 0.10010587426148984}",20,0,25.997360527364954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.08, 'e': 0.09910481551887494}",20,13,11.344690226091162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.08, 'e': 0.0981137673636862}",30,11,12.875876460956341,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
232,False,"{'a': 0.08, 'e': 0.09713262969004934}",20,9,9.341802783005654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.08, 'e': 0.09616130339314884}",30,4,-13.881651417352632,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
234,False,"{'a': 0.08, 'e': 0.09519969035921735}",20,0,25.998994213310333,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.08, 'e': 0.09424769345562518}",20,9,22.292460126898536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.08, 'e': 0.09330521652106893}",30,1,31.623982577221994,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.08, 'e': 0.09237216435585824}",30,18,19.94514673463654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.08, 'e': 0.09144844271229965}",20,11,16.709415711346235,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.08, 'e': 0.09053395828517666}",20,14,12.674891909430762,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.08, 'e': 0.08962861870232489}",25,10,-16.36133836175374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.08, 'e': 0.08873233251530163}",20,11,14.99813866839479,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.08, 'e': 0.08784500919014862}",25,9,25.114454294840368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.08, 'e': 0.08696655909824713}",30,17,23.538759401915677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.08, 'e': 0.08609689350726465}",30,14,14.475629211488275,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.08, 'e': 0.085235924572192}",25,9,25.63916226089392,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.08, 'e': 0.08438356532647008}",25,13,18.210275835300493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.08, 'e': 0.08353972967320537}",20,3,-22.458950830289766,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.08, 'e': 0.08270433237647332}",25,14,-2.2745454942156846,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
249,False,"{'a': 0.08, 'e': 0.08187728905270858}",30,21,18.618176412773106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.08, 'e': 0.08105851616218149}",30,16,27.396968318902587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.08, 'e': 0.08024793100055967}",25,3,40.863644816477986,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.08, 'e': 0.07944545169055407}",30,20,4.208498595747331,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.08, 'e': 0.07865099717364853}",25,9,28.20642951038808,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.08, 'e': 0.07786448720191204}",20,12,17.144891509343857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.08, 'e': 0.07708584232989292}",20,7,-2.2584958704871942,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.08, 'e': 0.076314983906594}",25,13,18.02679565333412,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.08, 'e': 0.07555183406752805}",25,16,18.134462442404256,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.08, 'e': 0.07479631572685277}",20,11,14.888684251129183,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.08, 'e': 0.07404835256958425}",25,15,-3.012186439692351,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.08, 'e': 0.0733078690438884}",25,14,20.13093931143174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.08, 'e': 0.07257479035344952}",20,15,-3.9595662983072852,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.08, 'e': 0.07184904244991502}",25,11,13.523437896947868,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.08, 'e': 0.07113055202541588}",20,11,15.308255523366253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.08, 'e': 0.07041924650516172}",20,13,2.2488781230117425,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.08, 'e': 0.06971505404011011}",30,14,29.120823302566052,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.08, 'e': 0.069017903499709}",25,15,6.156531178490849,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.08, 'e': 0.06832772446471191}",20,16,9.025390364160067,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.08, 'e': 0.0676444472200648}",20,8,23.88405940824706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
