trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.08, 'e': 0.5526834771623854}",25,9,-34.14193590654285,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.08, 'e': 0.5471566423907616}",20,3,-12.648387457169516,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.08, 'e': 0.5416850759668539}",20,0,10.56268452128438,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.08, 'e': 0.5362682252071853}",30,13,-30.608389630077184,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
63,False,"{'a': 0.08, 'e': 0.5309055429551135}",20,0,-104.76968209494652,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.08, 'e': 0.5255964875255623}",20,15,-13.124390738387351,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.08, 'e': 0.5203405226503067}",25,13,-16.289768365969117,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.08, 'e': 0.5151371174238036}",30,14,-66.96346920729044,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
67,False,"{'a': 0.08, 'e': 0.5099857462495656}",30,8,-31.574514813513545,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.08, 'e': 0.50488588878707}",20,1,-19.763633211687008,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.08, 'e': 0.49983702989919926}",20,0,-39.870936792383276,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.08, 'e': 0.4948386596002073}",20,10,-27.672708892203556,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
71,False,"{'a': 0.08, 'e': 0.48989027300420523}",30,0,-68.17750492693332,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
72,False,"{'a': 0.08, 'e': 0.48499137027416317}",25,16,19.3893748697996,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.08, 'e': 0.48014145657142154}",25,0,-76.77782651560646,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.08, 'e': 0.47534004200570734}",20,12,-3.5504761070498416,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.08, 'e': 0.4705866415856503}",25,16,-34.77905594577872,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.08, 'e': 0.46588077516979376}",20,0,-75.77885656649103,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.08, 'e': 0.46122196741809585}",25,0,-59.274663442338046,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.08, 'e': 0.4566097477439149}",25,10,-39.277290290852086,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.08, 'e': 0.45204365026647575}",25,0,-42.525559100450124,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.08, 'e': 0.447523213763811}",30,0,-71.65533864977056,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.08, 'e': 0.44304798162617287}",20,3,-45.460888848558255,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
82,False,"{'a': 0.08, 'e': 0.43861750180991116}",30,0,-102.27563522845497,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
83,False,"{'a': 0.08, 'e': 0.43423132679181203}",30,4,-157.48017645545391,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 4}",1
84,False,"{'a': 0.08, 'e': 0.4298890135238939}",20,0,-59.68885749403787,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.08, 'e': 0.425590123388655}",20,8,-24.061342119642347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.08, 'e': 0.42133422215476846}",25,18,2.5139238253237557,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.08, 'e': 0.4171208799332208}",30,19,-6.493290210560612,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.08, 'e': 0.4129496711338886}",25,8,13.951792762272296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.08, 'e': 0.4088201744225497}",25,18,14.84807749800973,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.08, 'e': 0.4047319726783242}",20,3,-76.15329618283829,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
91,False,"{'a': 0.08, 'e': 0.400684652951541}",25,3,-87.14069772976859,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 0}",1
92,False,"{'a': 0.08, 'e': 0.3966778064220256}",25,3,-47.09418901264248,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
93,False,"{'a': 0.08, 'e': 0.39271102835780536}",20,0,-71.85576957802033,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.08, 'e': 0.3887839180742273}",25,15,5.026790601615531,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.08, 'e': 0.38489607889348504}",25,10,-79.68572807601153,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
96,False,"{'a': 0.08, 'e': 0.38104711810455016}",25,11,-27.11279365904928,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
97,False,"{'a': 0.08, 'e': 0.37723664692350467}",25,3,-1.6153239000973978,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.08, 'e': 0.3734642804542696}",30,0,-119.36741100147137,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
99,False,"{'a': 0.08, 'e': 0.3697296376497269}",20,5,-29.396961110968086,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.08, 'e': 0.3660323412732296}",25,8,29.131738788390983,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.08, 'e': 0.3623720178604973}",25,5,4.96725386307254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.08, 'e': 0.3587482976818923}",20,0,-3.441449220842462,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.08, 'e': 0.3551608147050734}",25,13,-28.611596818546406,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.08, 'e': 0.35160920655802264}",20,14,12.50786209295229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.08, 'e': 0.3480931144924424}",20,0,12.254972338400856,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.08, 'e': 0.344612183347518}",25,11,17.326940492313852,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.08, 'e': 0.3411660615140428}",20,9,12.561884106632986,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.08, 'e': 0.33775440089890235}",20,0,-45.380679475466536,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.08, 'e': 0.3343768568899133}",20,10,2.842476280858767,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.08, 'e': 0.3310330883210142}",30,0,-96.9526908601303,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
111,False,"{'a': 0.08, 'e': 0.32772275743780405}",35,16,20.64143238138861,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.08, 'e': 0.324445529863426}",20,16,7.682658518588882,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.08, 'e': 0.32120107456479174}",20,10,17.91198488568413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.08, 'e': 0.3179890638191438}",30,10,14.713591951275355,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.08, 'e': 0.31480917318095236}",20,0,-48.63352060750108,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
116,False,"{'a': 0.08, 'e': 0.31166108144914284}",20,0,10.605112201018066,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.08, 'e': 0.3085444706346514}",30,21,16.057170016991776,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.08, 'e': 0.3054590259283049}",25,1,11.229753661688527,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.08, 'e': 0.3024044356690218}",30,8,-18.890711760589458,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.08, 'e': 0.2993803913123316}",20,0,-37.11766054979373,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
121,False,"{'a': 0.08, 'e': 0.29638658739920826}",30,14,-10.187520253944069,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.08, 'e': 0.2934227215252162}",20,13,-42.30026601618046,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.08, 'e': 0.29048849430996404}",30,0,-68.77635034225082,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.08, 'e': 0.2875836093668644}",20,0,-12.329730278795614,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
125,False,"{'a': 0.08, 'e': 0.28470777327319574}",25,7,-15.509188055137233,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
126,False,"{'a': 0.08, 'e': 0.2818606955404638}",35,0,30.951596516652874,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.08, 'e': 0.27904208858505913}",35,23,2.7081440706065694,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.08, 'e': 0.27625166769920856}",30,4,-74.8099241565133,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 2}",1
129,False,"{'a': 0.08, 'e': 0.2734891510222165}",20,8,14.087086062815203,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.08, 'e': 0.27075425951199433}",30,0,-87.16192800281765,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
131,False,"{'a': 0.08, 'e': 0.2680467169168744}",25,20,11.016963601557011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.08, 'e': 0.2653662497477056}",25,0,-24.414996858859944,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.08, 'e': 0.26271258725022856}",20,13,16.88901771062677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.08, 'e': 0.26008546137772626}",20,2,-17.170345093290848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.08, 'e': 0.257484606763949}",20,1,19.40032200266464,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.08, 'e': 0.25490976069630955}",25,0,-12.903478752435396,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
137,False,"{'a': 0.08, 'e': 0.25236066308934646}",20,5,-9.662049228057882,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.08, 'e': 0.249837056458453}",30,17,17.468695210178957,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.08, 'e': 0.24733868589386848}",20,3,13.12163388446119,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.08, 'e': 0.2448652990349298}",20,12,-9.078020105886358,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.08, 'e': 0.2424166460445805}",30,9,22.269779078979827,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.08, 'e': 0.2399924795841347}",20,0,-52.755715250866025,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.08, 'e': 0.23759255478829336}",25,0,-55.005320535260694,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.08, 'e': 0.23521662924041042}",25,3,-14.145163704435069,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.08, 'e': 0.2328644629480063}",30,3,14.028934640940863,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.08, 'e': 0.23053581831852624}",30,11,34.657710086645764,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.08, 'e': 0.22823046013534098}",20,0,-8.895372576296399,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.08, 'e': 0.2259481555339876}",20,8,24.624099309729733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.08, 'e': 0.22368867397864772}",20,0,21.563859862140138,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.08, 'e': 0.22145178723886125}",25,7,-17.90408917244008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.08, 'e': 0.21923726936647264}",25,5,37.880781859899706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.08, 'e': 0.2170448966728079}",25,11,5.010768382574988,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.08, 'e': 0.21487444770607983}",20,0,2.8572968847118796,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.08, 'e': 0.21272570322901904}",30,15,12.672833418335719,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.08, 'e': 0.21059844619672885}",35,16,12.413914366268797,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.08, 'e': 0.20849246173476157}",30,20,6.845856547547768,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.08, 'e': 0.20640753711741397}",20,1,18.99840858813328,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.08, 'e': 0.20434346174623982}",25,14,19.354894443900566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.08, 'e': 0.20230002712877743}",20,8,21.533689683261876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.08, 'e': 0.20027702685748966}",30,0,32.71932253995942,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.08, 'e': 0.19827425658891476}",20,10,13.26214303741408,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.08, 'e': 0.1962915140230256}",25,0,-38.739808926745546,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.08, 'e': 0.19432859888279536}",30,13,12.77214191174759,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.08, 'e': 0.1923853128939674}",25,16,19.41628062248522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.08, 'e': 0.19046145976502774}",20,9,20.53245187886666,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.08, 'e': 0.18855684516737745}",20,13,2.7105790990308876,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.08, 'e': 0.18667127671570366}",20,9,19.16233513894814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.08, 'e': 0.18480456394854664}",20,6,22.961913297175855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.08, 'e': 0.18295651830906118}",30,8,27.712916082100275,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.08, 'e': 0.18112695312597057}",25,18,13.601902897184154,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.08, 'e': 0.17931568359471087}",25,2,-21.815676096499313,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.08, 'e': 0.17752252675876376}",20,10,5.004873031409218,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.08, 'e': 0.17574730149117612}",30,16,17.395357231974685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.08, 'e': 0.17398982847626437}",20,0,6.302803234208123,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.08, 'e': 0.17224993019150173}",25,15,14.22629672729005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.08, 'e': 0.17052743088958672}",25,10,0.5972524280191465,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.08, 'e': 0.16882215658069086}",25,16,2.6923827354534335,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.08, 'e': 0.16713393501488394}",20,16,7.357994237570156,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.08, 'e': 0.1654625956647351}",20,1,18.79487039198378,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.08, 'e': 0.16380796970808775}",30,19,25.20137127437839,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.08, 'e': 0.16216989001100687}",20,15,8.910996465554023,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.08, 'e': 0.1605481911108968}",20,0,0.5365839081273152,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
183,False,"{'a': 0.08, 'e': 0.15894270919978784}",25,0,33.13387961302122,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.08, 'e': 0.15735328210778995}",20,6,9.483795290328473,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
